,Code,name,ownership,sponsor,composition,nature,enrolment2007,nTeachers,pupil2TeacherRatio,District,Division,Location,Sublocation,Costituency,Province,coordinates,lat,lon,county
0,F3020455,NGOZI GIRLS SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,GIRLS ONLY,BOARDING,58,3,19.333333333333332,KWALE,MSAMBWENI,VANGA,JEGO,MSAMBWENI,COAST,"(-4.64303800000, 39.18479600000)",-4.643038,39.184796,Kwale
1,F3020478,LUNGA LUNGA MIXED DAY SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,331,13,25.46153846153846,KWALE,MSAMBWENI,LUNGA LUNGA,SEGA,MSAMBWENI,COAST,"(-4.54284500000, 39.11903600000)",-4.542845,39.119036,Kwale
2,F3020336,RAMISI MIXED SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY AND BOARDING,385,15,25.666666666666668,KWALE,MSAMBWENI,KIGWENDE SHIRAZI,SHIRAZI,MSAMBWENI,COAST,"(-4.52158100000, 39.39792600000)",-4.521581,39.397926,Kwale
3,F3020318,KINGWEDE SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,BOARDING,126,6,21.0,KWALE,MSAMBWENI,KINGWEDE/SHIRAZ,KIGWEDE,MSAMBWENI,COAST,"(-4.48936000000, 39.45773000000)",-4.48936,39.45773,Kwale
4,F3020283,MSAMBWENI SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY AND BOARDING,553,23,24.043478260869566,KWALE,MSAMBWENI,MSAMBWENI,VINGUJINI,MSAMBWENI,COAST,"(-4.47627200000, 39.47484000000)",-4.476272,39.47484,Kwale
5,F3020426,KIKONENI SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY AND BOARDING,234,11,21.272727272727273,KWALE,MSAMBWENI,KIKONENI,BUMBANI,MSAMBWENI,COAST,"(-4.46605300000, 39.31916500000)",-4.466053,39.319165,Kwale
6,F3020387,FRANZ JOSEF SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY AND BOARDING,668,22,30.363636363636363,KWALE,MSAMBWENI,DZOMBO,MRIMA/MALAMBA,MSAMBWENI,COAST,"(-4.45508100000, 39.24241600000)",-4.455081,39.242416,Kwale
7,F3020412,MWANANYAMALA SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,138,10,13.8,KWALE,MSAMBWENI,DZOMBO,MRIMA/MALAMBA,MSAMBWENI,COAST,"(-4.43227890000, 39.26153000000)",-4.4322789,39.26153,Kwale
8,F3020515,MWERENI MIXED DAY SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,154,7,22.0,KWALE,MSAMBWENI,MWERENI,MWENA,MSAMBWENI,COAST,"(-4.42603900000, 39.13284600000)",-4.426039,39.132846,Kwale
9,F3020308,MAVUMONI SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,346,13,26.615384615384617,KWALE,MSAMBWENI,MIVUMONI,MIVUMONI,MSAMBWENI,COAST,"(-4.42005400000, 39.40333600000)",-4.420054,39.403336,Kwale
10,F3020184,KINONDO MIXED DAY SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,156,9,17.333333333333332,KWALE,MSAMBWENI,KINONDO,KINONDO,MSAMBWENI,COAST,"(-4.37345500000, 39.52734200000)",-4.373455,39.527342,Kwale
12,F3020668,SHIMBA HILLS SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,BOARDING,640,22,29.09090909090909,KWALE,KUBO,MAJIMBONI,SHIMBA HILLS,MATUGA,COAST,"(-4.36059000000, 39.41424000000)",-4.36059,39.41424,Kwale
13,F3020691,LUKORE SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,BOARDING,285,16,17.8125,KWALE,KUBO,LUKORE,LUKORE,MATUGA,COAST,"(-4.35181000000, 39.31426000000)",-4.35181,39.31426,Kwale
14,F3020680,KICHAKA SIMBA GIRLS SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,GIRLS ONLY,BOARDING,294,12,24.5,KWALE,KUBO,MWALUVANGA,MANYATTA,MATUGA,COAST,"(-4.34796000000, 39.35849000000)",-4.34796,39.35849,Kwale
15,F3020605,MKONGANI SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,224,10,22.4,KWALE,KUBO,MKONGANI,TIRIBE,MATUGA,COAST,"(-4.33002600000, 39.23380700000)",-4.330026,39.233807,Kwale
16,F3020173,LULU HIGH,PRIVATE,PRIVATE INDIVIDUAL,MIXED,BOARDING,144,13,11.076923076923077,KWALE,KUBO,DIANI,UKUNDA,MSAMBWENI,COAST,"(-4.32013100000, 39.54682800000)",-4.320131,39.546828,Kwale
17,F3020198,DIANI MIXED DAY SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,314,14,22.428571428571427,KWALE,KUBO,DIANI,UKUNDA,MSAMBWENI,COAST,"(-4.30065600000, 39.55390300000)",-4.300656,39.553903,Kwale
18,F3020236,REDEEMED ACA SEC,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY,218,12,18.166666666666668,KWALE,KUBO,DIANI,UKUNDA,MSAMBWENI,COAST,"(-4.28560900000, 39.56622900000)",-4.285609,39.566229,Kwale
19,F3020158,ST JESSICCA HIGH,PRIVATE,PRIVATE INDIVIDUAL,MIXED,BOARDING,56,7,8.0,KWALE,KUBO,DIANI,GOMBATO,MSAMBWENI,COAST,"(-4.27107200000, 39.56863200000)",-4.271072,39.568632,Kwale
20,F3020157,PORTREITZ ACA SEC,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,143,8,17.875,KWALE,KUBO,DIANI,GOMBATO,MSAMBWENI,COAST,"(-4.26635300000, 39.56814700000)",-4.266353,39.568147,Kwale
21,D3020099,NDAVAYA SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY AND BOARDING,183,9,20.333333333333332,KWALE,KINANGO,NDAVAYA,NDAVAYA,KINANGO,COAST,"(-4.25589700000, 39.16712700000)",-4.255897,39.167127,Kwale
22,F3020574,MWALUPHAMBA SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,269,13,20.692307692307693,KWALE,KUBO,MWALUPHAMBA,MLAFYENI,MATUGA,COAST,"(-4.24862700000, 39.34734500000)",-4.248627,39.347345,Kwale
23,F3020078,KAYA TIWI SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,227,11,20.636363636363637,KWALE,MATUGA,TIWI,MKOYO,MATUGA,COAST,"(-4.24194600000, 39.58195000000)",-4.241946,39.58195,Kwale
24,F3020040,TSIMBA MIXED DAY SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,98,8,12.25,KWALE,MATUGA,TSIMBA,KUNDUTSI,MATUGA,COAST,"(-4.18657600000, 39.51057600000)",-4.186576,39.510576,Kwale
26,F3020110,WAA GIRLS SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,GIRLS ONLY,BOARDING,734,27,27.185185185185187,KWALE,MATUGA,WAA,KITIVO,MATUGA,COAST,"(-4.16864000000, 39.60577200000)",-4.16864,39.605772,Kwale
27,F3020113,WAA BOYS SEC,PUBLIC,COMMUNITY,BOYS ONLY,BOARDING,578,29,19.93103448275862,KWALE,MATUGA,WAA,KITIVO,MATUGA,COAST,"(-4.16807300000, 39.60077100000)",-4.168073,39.600771,Kwale
28,F3020027,ST. MARY'S KWALE JUNIOR SEC SCH,PRIVATE,RELIGIOUS ORGANIZATION,BOYS ONLY,BOARDING,200,13,15.384615384615385,KWALE,MATUGA,GOLINI,GOLINI,MATUGA,COAST,"(-4.16764000000, 39.45698700000)",-4.16764,39.456987,Kwale
29,F3020026,KWALE BOYS SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,BOYS ONLY,BOARDING,688,32,21.5,KWALE,MATUGA,GOLINI,GOLINI,MATUGA,COAST,"(-4.16686800000, 39.45470000000)",-4.166868,39.4547,Kwale
30,F3020023,KWALE GIRLS SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,GIRLS ONLY,BOARDING,541,19,28.473684210526315,KWALE,MATUGA,GOLINI,GOLINI,MATUGA,COAST,"(-4.15911500000, 39.44506000000)",-4.159115,39.44506,Kwale
31,F3020015,GOLINI MIXED DAY SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,247,12,20.583333333333332,KWALE,MATUGA,GOLINI,GOLINI,MATUGA,COAST,"(-4.14701100000, 39.47993200000)",-4.147011,39.479932,Kwale
32,D3020065,KINANGO SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY AND BOARDING,452,16,28.25,KWALE,KINANGO,KINANGO,KINANGO,KINANGO,COAST,"(-4.13896600000, 39.31877900000)",-4.138966,39.318779,Kwale
33,F3020124,NGOMBENI SEC,PUBLIC,COMMUNITY,MIXED,DAY,441,20,22.05,KWALE,LIKONI,SHIKA ADABU,VIJIWENI,LIKONI,COAST,"(-4.12633100000, 39.63220400000)",-4.126331,39.632204,Kwale
35,L3040390,SHIKA ADABU SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,30,3,10.0,MOMBASA,LIKONI,SHIKA ADABU,VYEMANI,LIKONI,COAST,"(-4.10549000000, 39.63457000000)",-4.10549,39.63457,Mombasa
36,L3040326,ST. JOHN'S FIRST BAPTIST SEC SCH,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY,72,7,10.285714285714286,MOMBASA,LIKONI,SHIKA ADABU,VIJIWENI,LIKONI,COAST,"(-4.10520000000, 39.64743000000)",-4.1052,39.64743,Mombasa
37,L3040329,LIKONI VALENTINE SEC SCH,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,49,7,7.0,MOMBASA,LIKONI,SHIKA ADABU,VIJIWENI,LIKONI,COAST,"(-4.10407000000, 39.64274000000)",-4.10407,39.64274,Mombasa
38,L3040251,LIKONI SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,523,26,20.115384615384617,MOMBASA,LIKONI,LIKONI,LIKONI,LIKONI,COAST,"(-4.09209000000, 39.64331000000)",-4.09209,39.64331,Mombasa
39,L3040313,MT SINAI ACADEMY SEC,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,41,4,10.25,MOMBASA,LIKONI,LIKONI,TIMBWANI,LIKONI,COAST,"(-4.08921000000, 39.64920000000)",-4.08921,39.6492,Mombasa
41,L3040237,PWANI SEC SCH,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,405,18,22.5,MOMBASA,LIKONI,LIKONI,BOFU,LIKONI,COAST,"(-4.08542000000, 39.64612000000)",-4.08542,39.64612,Mombasa
42,L3040204,DARUL ULUM SEC SCH,PRIVATE,COMMUNITY,BOYS ONLY,DAY AND BOARDING,108,9,12.0,MOMBASA,LIKONI,LIKONI,BOFU,LIKONI,COAST,"(-4.08186000000, 39.65369000000)",-4.08186,39.65369,Mombasa
43,L3040351,MOI FORCES ACADEMY SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,558,25,22.32,MOMBASA,LIKONI,MTONGWE,MTONGWE,LIKONI,COAST,"(-4.08073000000, 39.64170000000)",-4.08073,39.6417,Mombasa
44,L3040379,MTONGWE GIRLS SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,GIRLS ONLY,DAY,20,6,3.3333333333333335,MOMBASA,LIKONI,MTONGWE,MTONGWE,LIKONI,COAST,"(-4.07983000000, 39.63252000000)",-4.07983,39.63252,Mombasa
45,L3040023,MAMA NGINA GIRLS SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,BOYS ONLY,DAY,361,20,18.05,MOMBASA,ISLAND,GANJONI,KIZINGO,KISAUNI,COAST,"(-4.06901000000, 39.67173000000)",-4.06901,39.67173,Mombasa
46,L3040019,AGA KHAN SEC  SCH,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,640,39,16.41025641025641,MOMBASA,ISLAND,GANJONI,KIZINGO,KISAUNI,COAST,"(-4.06768000000, 39.67088000000)",-4.06768,39.67088,Mombasa
47,L3040016,JAFFERY ACA SEC  SCH,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,359,27,13.296296296296296,MOMBASA,ISLAND,GANJONI,KIZINGO,KISAUNI,COAST,"(-4.06755000000, 39.67171000000)",-4.06755,39.67171,Mombasa
48,L3040030,STAR OF THE SEA SEC  SCH,PUBLIC,RELIGIOUS ORGANIZATION,GIRLS ONLY,DAY,688,39,17.641025641025642,MOMBASA,ISLAND,GANJONI,KIZINGO,KISAUNI,COAST,"(-4.06678000000, 39.66853000000)",-4.06678,39.66853,Mombasa
49,L3040033,MBARAKI GIRLS SEC  SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,GIRLS ONLY,DAY,290,17,17.058823529411764,MOMBASA,ISLAND,GANJONI,KIZINGO,KISAUNI,COAST,"(-4.06588000000, 39.67155000000)",-4.06588,39.67155,Mombasa
50,L3040038,VALENTINE SEC  SCH,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,26,5,5.2,MOMBASA,ISLAND,GANJONI,GANJONI,LIKONI,COAST,"(-4.06196000000, 39.66258000000)",-4.06196,39.66258,Mombasa
51,L3040004,SERANI SEC  SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,BOYS ONLY,DAY,464,23,20.17391304347826,MOMBASA,ISLAND,GANJONI,KIZINGO,KISAUNI,COAST,"(-4.06195000000, 39.67341000000)",-4.06195,39.67341,Mombasa
52,L3040045,SACRED HEART SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,488,46,10.608695652173912,MOMBASA,ISLAND,GANJONI,GANJONI,LIKONI,COAST,"(-4.06165000000, 39.66069000000)",-4.06165,39.66069,Mombasa
53,L3040062,COAST GIRLS HIGH  SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,GIRLS ONLY,DAY,822,44,18.681818181818183,MOMBASA,ISLAND,OLD TOWN,MAKADARA,KISAUNI,COAST,"(-4.05984000000, 39.67466000000)",-4.05984,39.67466,Mombasa
54,L3041102,KILINDINI SEC SCH,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,254,16,15.875,MOMBASA,ISLAND,MAJENGO,MWEMBE TAYARI,MVITA,COAST,"(-4.05893000000, 39.66734000000)",-4.05893,39.66734,Mombasa
55,L3040193,MOMBASA HIGH SCH,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,222,12,18.5,MOMBASA,ISLAND,TONONOKA,BONDENI,MVITA,COAST,"(-4.05031000000, 39.66880000000)",-4.05031,39.6688,Mombasa
56,L3040188,MEMON HIGH SCH,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,323,17,19.0,MOMBASA,ISLAND,TONONOKA,BONDENI,MVITA,COAST,"(-4.05021000000, 39.66778000000)",-4.05021,39.66778,Mombasa
57,L3040066,QUBAA SEC  SCH,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,294,18,16.333333333333332,MOMBASA,ISLAND,MAJENGO,MAJENGO KING'ORANI,MVITA,COAST,"(-4.05020000000, 39.65756000000)",-4.0502,39.65756,Mombasa
58,L3040075,MOMBASA SEC SCH,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY,132,9,14.666666666666666,MOMBASA,ISLAND,MAJENGO,MAJENGO,MVITA,COAST,"(-4.04952000000, 39.66391000000)",-4.04952,39.66391,Mombasa
59,L3040156,TONONOKA SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,BOYS ONLY,DAY,630,26,24.23076923076923,MOMBASA,ISLAND,TONONOKA,TONONOKA,MVITA,COAST,"(-4.04916000000, 39.66700000000)",-4.04916,39.667,Mombasa
60,L3040155,SHARIFF NASSIR GIRLS SCH,PUBLIC,PRIVATE INDIVIDUAL,GIRLS ONLY,DAY,351,20,17.55,MOMBASA,ISLAND,TONONOKA,BONDENI,MVITA,COAST,"(-4.04916000000, 39.67125000000)",-4.04916,39.67125,Mombasa
62,L3041098,ALLIDINA VISRAM HIGH SCH,PUBLIC,PRIVATE INDIVIDUAL,MIXED,DAY,692,30,23.066666666666666,MOMBASA,ISLAND,OLD TOWN,MJI WA KALE,KISAUNI,COAST,"(-4.04600000000, 39.67591000000)",-4.046,39.67591,Mombasa
63,L3040082,ABU HUREIRA ACA SEC SCH,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY,273,17,16.058823529411764,MOMBASA,ISLAND,MAJENGO,MAJENGO KING'ORANI,MVITA,COAST,"(-4.04517000000, 39.65569000000)",-4.04517,39.65569,Mombasa
64,L3040165,SHEIK ABDALLA AL-FARSY SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,GIRLS ONLY,DAY,41,5,8.2,MOMBASA,ISLAND,TONONOKA,TONONOKA,MVITA,COAST,"(-4.04461000000, 39.66797600000)",-4.04461,39.667976,Mombasa
65,L3040753,IMARA SEC SCH,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,169,9,18.77777777777778,MOMBASA,KISAUNI,KONGOWEA,KONGOWEA,KISAUNI,COAST,"(-4.04206000000, 39.68830000000)",-4.04206,39.6883,Mombasa
66,L3040111,BURHANIYA SEC SCH,PUBLIC,COMMUNITY,MIXED,DAY,173,14,12.357142857142858,MOMBASA,ISLAND,TONONOKA,TONONOKA,MVITA,COAST,"(-4.04063700000, 39.66783300000)",-4.040637,39.667833,Mombasa
67,L3040778,BRAINSWORTH ACADEMY NYALI SEC,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,522,20,26.1,MOMBASA,KISAUNI,KONGOWEA,KONGOWEA,KISAUNI,COAST,"(-4.03931000000, 39.67806000000)",-4.03931,39.67806,Mombasa
68,L3040106,TUDOR DAY SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,BOYS ONLY,DAY,755,40,18.875,MOMBASA,ISLAND,TUDOR,TUDOR FOUR,CHANGAMWE,COAST,"(-4.03829600000, 39.66459400000)",-4.038296,39.664594,Mombasa
70,L3040996,HIGH ACHIEVERS SEC SCH,PRIVATE,NGO/CBO,MIXED,DAY,69,7,9.857142857142858,MOMBASA,CHANGAMWE,PORT REITZ,PORT REITZ,CHANGAMWE,COAST,"(-4.03673000000, 39.61797000000)",-4.03673,39.61797,Mombasa
71,L3040991,PORT REITZ ACADEMY SEC,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,305,13,23.46153846153846,MOMBASA,CHANGAMWE,PORT REITZ,PORT REITZ,CHANGAMWE,COAST,"(-4.03658000000, 39.60449000000)",-4.03658,39.60449,Mombasa
72,L3040098,MOMBASA BAPTIST HIGH SCH,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY,290,16,18.125,MOMBASA,ISLAND,TUDOR,TUDOR FOUR,CHANGAMWE,COAST,"(-4.03596100000, 39.66080500000)",-4.035961,39.660805,Mombasa
73,L3040114,KHAMIS HIGH SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,BOYS ONLY,DAY,633,35,18.085714285714285,MOMBASA,ISLAND,TUDOR,TUDOR FOUR,CHANGAMWE,COAST,"(-4.03475800000, 39.66546400000)",-4.034758,39.665464,Mombasa
74,L3040783,AL-MADRASA S.B. SEC SCH,PRIVATE,NGO/CBO,MIXED,DAY,66,27,2.4444444444444446,MOMBASA,KISAUNI,KISAUNI,MAGOGONI,KISAUNI,COAST,"(-4.03361000000, 39.68051000000)",-4.03361,39.68051,Mombasa
75,L3040717,HOLBROOK HIGH SCH,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,18,4,4.5,MOMBASA,KISAUNI,KONGOWEA,KONGOWEA,KISAUNI,COAST,"(-4.03299000000, 39.68956000000)",-4.03299,39.68956,Mombasa
76,L3040123,TUDOR JUNIOR ACADEMY SEC,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,64,5,12.8,MOMBASA,ISLAND,TUDOR,TUDOR FOUR,CHANGAMWE,COAST,"(-4.03235700000, 39.66392300000)",-4.032357,39.663923,Mombasa
77,L3041001,HIGHGATE ACADEMY SEC,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,64,9,7.111111111111111,MOMBASA,CHANGAMWE,PORT REITZ,PORT REITZ,CHANGAMWE,COAST,"(-4.03087000000, 39.61660000000)",-4.03087,39.6166,Mombasa
79,L3040960,ST. TERESA'S GIRLS SEC SCH,PRIVATE,RELIGIOUS ORGANIZATION,GIRLS ONLY,DAY AND BOARDING,229,10,22.9,MOMBASA,CHANGAMWE,KIPEVU,KIPEVU,CHANGAMWE,COAST,"(-4.02898000000, 39.62376000000)",-4.02898,39.62376,Mombasa
81,L3041064,HIGH BRIDGE ACADEMY SEC,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,215,13,16.53846153846154,MOMBASA,CHANGAMWE,PORT REITZ,PORT REITZ,CHANGAMWE,COAST,"(-4.02755000000, 39.60640000000)",-4.02755,39.6064,Mombasa
82,L3040741,SHREE SWAMNIRAYAN ACADEMY SEC,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY,190,20,9.5,MOMBASA,KISAUNI,KONGOWEA,MAWENI,KISAUNI,COAST,"(-4.02517000000, 39.71698000000)",-4.02517,39.71698,Mombasa
83,L3040821,CHANGAMWE SDA SEC SCH,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY,155,10,15.5,MOMBASA,CHANGAMWE,MIKINDANI,BIRIKANI,CHANGAMWE,COAST,"(-4.02488000000, 39.63396000000)",-4.02488,39.63396,Mombasa
84,L3040816,CHANGAMWE SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,942,38,24.789473684210527,MOMBASA,CHANGAMWE,CHANGAMWE,CHANGAMWE,CHANGAMWE,COAST,"(-4.02349000000, 39.63108000000)",-4.02349,39.63108,Mombasa
85,L3040593,BRIGHT FUTURE SCH SEC,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,22,6,3.6666666666666665,MOMBASA,KISAUNI,KISAUNI,KISAUNI,KISAUNI,COAST,"(-4.02300000000, 39.68878000000)",-4.023,39.68878,Mombasa
86,L3041054,THE GRACIOUS MARY COMPLEX SEC SCH,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,56,4,14.0,MOMBASA,CHANGAMWE,PORT REITZ,PORT REITZ,CHANGAMWE,COAST,"(-4.02124000000, 39.60408000000)",-4.02124,39.60408,Mombasa
87,L3040553,SINOGAL HIGH SCH,PRIVATE,COMMUNITY,MIXED,DAY,206,11,18.727272727272727,MOMBASA,KISAUNI,KISAUNI,JUNDA,KISAUNI,COAST,"(-4.02122000000, 39.67510000000)",-4.02122,39.6751,Mombasa
88,L3040658,RISE AND SHINE ACADEMY SEC,PRIVATE,PRIVATE INDIVIDUAL,GIRLS ONLY,BOARDING,106,6,17.666666666666668,MOMBASA,KISAUNI,KISAUNI,KISAUNI,KISAUNI,COAST,"(-4.02108000000, 39.70099000000)",-4.02108,39.70099,Mombasa
89,L3040708,MOMBASA SEC SCH FOR THE PHYSICALLY HANDICAPPED,PUBLIC,NGO/CBO,BOYS ONLY,DAY AND BOARDING,224,17,13.176470588235293,MOMBASA,KISAUNI,KISAUNI,KISAUNI,KISAUNI,COAST,"(-4.02054000000, 39.71431000000)",-4.02054,39.71431,Mombasa
90,L3040888,ST. CHARLES LWANGA SEC SCH,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,DAY,548,27,20.296296296296298,MOMBASA,CHANGAMWE,CHANGAMWE,CHANGAMWE,CHANGAMWE,COAST,"(-4.01951000000, 39.62491000000)",-4.01951,39.62491,Mombasa
91,L3040908,MAMA WA SHIME SEC SCH,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,18,4,4.5,MOMBASA,CHANGAMWE,MIRITINI,MIRITINI,CHANGAMWE,COAST,"(-4.01728000000, 39.58978000000)",-4.01728,39.58978,Mombasa
92,L3040745,NYALI HIGH SCH,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,86,9,9.555555555555555,MOMBASA,KISAUNI,KONGOWEA,MAWENI,KISAUNI,COAST,"(-4.01632000000, 39.72502000000)",-4.01632,39.72502,Mombasa
93,L3040707,SHEIK ZAYED SEC SCH,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY AND BOARDING,734,45,16.31111111111111,MOMBASA,KISAUNI,KISAUNI,KISAUNI,KISAUNI,COAST,"(-4.01271000000, 39.70696000000)",-4.01271,39.70696,Mombasa
94,L3040580,KISAUNI HIGH SCH,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,266,11,24.181818181818183,MOMBASA,KISAUNI,KISAUNI,MAGOGONI,KISAUNI,COAST,"(-4.01241000000, 39.68842000000)",-4.01241,39.68842,Mombasa
95,L3040838,ST. MONICA ACADEMY SECONDARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,17,4,4.25,MOMBASA,CHANGAMWE,MIKINDANI,BIRIKANI,CHANGAMWE,COAST,"(-4.00838000000, 39.63372000000)",-4.00838,39.63372,Mombasa
96,L3040421,BRAINSWORTH SEC SCH,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,125,8,15.625,MOMBASA,KISAUNI,KISAUNI,KISAUNI,KISAUNI,COAST,"(-4.00722000000, 39.69792000000)",-4.00722,39.69792,Mombasa
97,L3040846,IYALE ACADEMY SEC,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,169,9,18.77777777777778,MOMBASA,CHANGAMWE,MIKINDANI,KWA SHEE,CHANGAMWE,COAST,"(-4.00514000000, 39.62833000000)",-4.00514,39.62833,Mombasa
98,L3040877,KAJEMBE HIGH SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,228,13,17.53846153846154,MOMBASA,CHANGAMWE,MIKINDANI,KWA SHEE,CHANGAMWE,COAST,"(-4.00388000000, 39.62691000000)",-4.00388,39.62691,Mombasa
99,L3040784,C-GEP GIRLS HIGH SCH,PRIVATE,PRIVATE INDIVIDUAL,GIRLS ONLY,DAY,139,9,15.444444444444445,MOMBASA,KISAUNI,KISAUNI,KISAUNI,KISAUNI,COAST,"(-4.00111000000, 39.70035000000)",-4.00111,39.70035,Mombasa
100,L3040934,MIRITINI SEC SCH,PUBLIC,PRIVATE INDIVIDUAL,MIXED,DAY,249,18,13.833333333333334,MOMBASA,CHANGAMWE,MIRITINI,JOMVU KUU,CHANGAMWE,COAST,"(-4.00029000000, 39.58052000000)",-4.00029,39.58052,Mombasa
101,L3040460,GREEN PALMS ACADEMY SCH SEC,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,15,6,2.5,MOMBASA,KISAUNI,KISAUNI,MAGOGONI,KISAUNI,COAST,"(-3.99822000000, 39.69848000000)",-3.99822,39.69848,Mombasa
102,L3040944,MARBEN HIGH SCHOOL SEC,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,128,18,7.111111111111111,MOMBASA,CHANGAMWE,MIRITINI,JOMVU KUU,CHANGAMWE,COAST,"(-3.99785000000, 39.58588000000)",-3.99785,39.58588,Mombasa
103,L3040523,JCC EDUCATIONAL COMPLEX HIGH SCH,PRIVATE,RELIGIOUS ORGANIZATION,MIXED,BOARDING,121,6,20.166666666666668,MOMBASA,KISAUNI,BAMBURI,MWEMBE LEGEZA,KISAUNI,COAST,"(-3.99331000000, 39.72037000000)",-3.99331,39.72037,Mombasa
