,Code,name,ownership,sponsor,composition,nature,enrolment2007,nTeachers,pupil2TeacherRatio,District,Division,Location,Sublocation,Costituency,Province,coordinates,lat,lon,county
2870,F2030429,KIAMBUGI HIGH SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,293,22,13.318181818181818,MURANGA,KIHARU,GATURI,GATHUKIINI,KIHARU,CENTRAL,"(-0.63178970000, 37.06513110000)",-0.6317897,37.0651311,Murang'a
2871,A4070128,GIKIIRO  SEC. SCH.,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,81,9,9.0,MBEERE,GACHOKA,MBITA,GIKIIRO,GACHOKA,EASTERN,"(-0.63123900000, 37.62720900000)",-0.631239,37.627209,Embu
2872,M7180211,TENGECHA BOYS HIGH SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,BOYS ONLY,BOARDING,607,29,20.93103448275862,BURETI,BURETI,KAPKATET,ITOIK,BURETI,RIFT VALLEY,"(-0.63121000000, 35.19452000000)",-0.63121,35.19452,Bomet
2873,G6070524,GESURE SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,431,20,21.55,NYAMIRA,MANGA,CENTRAL KITUTU,NYAKONGO,KITUTU MASABA,NYANZA,"(-0.63051900000, 34.86872500000)",-0.630519,34.868725,Nyamira
2874,M7180105,KAPSOGIRUK SEC SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,30,3,10.0,BURETI,BURETI,CHEBWAGAN,KAPSOGERUK,BURETI,RIFT VALLEY,"(-0.63001600000, 35.14366300000)",-0.630016,35.143663,Bomet
2875,B2020031,KANGAI MIXED SEC,PUBLIC,LOCAL GOVERNMENT AUTHORITY,MIXED,DAY,189,11,17.181818181818183,KIRINYAGA,MWEA,KANGAI,KOMBOINI,MWEA,CENTRAL,"(-0.62950280000, 37.29898310000)",-0.6295028,37.2989831,Kirinyaga
2876,M7180216,TENGECHA GIRLS SECONDARY SCHOOL,PUBLIC,RELIGIOUS ORGANIZATION,GIRLS ONLY,BOARDING,515,14,36.785714285714285,BURETI,BURETI,KAPKATET,ITOIK,BURETI,RIFT VALLEY,"(-0.62937000000, 35.19457000000)",-0.62937,35.19457,Bomet
2877,K7091771,ST LOUIS SEC,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY,36,5,7.2,NAKURU,MAU-NAROK,MAU-NAROK,SIAPEI,MOLO,RIFT VALLEY,"(-0.62925000000, 35.99365000000)",-0.62925,35.99365,Nakuru
2878,M7180073,KAMINJEIWA SEC SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,24,5,4.8,BURETI,BURETI,TECHOGET,KAMINJEIWA,BURETI,RIFT VALLEY,"(-0.62916000000, 35.10006000000)",-0.62916,35.10006,Bomet
2880,H6030345,IRANDA SEC,PUBLIC,RELIGIOUS ORGANISATION,MIXED,DAY,175,9,19.444444444444443,CENTRAL KISII,MOSOCHO,NYAKOE,IRANDA,KITUTU CHACHE,NYANZA,"(-0.62799900000, 34.78519000000)",-0.627999,34.78519,Kisii
2881,H6030485,IGONGA SEC,PUBLIC,RELIGIOUS ORGANISATION,MIXED,DAY,356,17,20.941176470588236,CENTRAL KISII,SUNEKA,BOMARIBA,BOMARIBA,BONCHARI,NYANZA,"(-0.62794700000, 34.70221000000)",-0.627947,34.70221,Kisii
2883,F2030423,GAITHERI SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,213,8,26.625,MURANGA,KIHARU,GATURI,GATHUKIINI,KIHARU,CENTRAL,"(-0.62737530000, 37.03905920000)",-0.6273753,37.0390592,Murang'a
2884,H6030493,NYABINWA MIXED SEC,PUBLIC,RELIGIOUS ORGANISATION,MIXED,DAY,138,9,15.333333333333334,CENTRAL KISII,SUNEKA,BOMARIBA,KEBOYE,BONCHARI,NYANZA,"(-0.62735400000, 34.68435200000)",-0.627354,34.684352,Kisii
2885,F2030415,GAKURWE SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY AND BOARDING,216,12,18.0,MURANGA,KIHARU,GATURI,GATHUKIINI,KIHARU,CENTRAL,"(-0.62707500000, 37.02252170000)",-0.627075,37.0225217,Murang'a
2886,M7180580,KIPKORIR SALAT SECONDARY SCHOOL,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY AND BOARDING,229,16,14.3125,BURETI,KONOIN,SATIET,SATIET,KONOIN,RIFT VALLEY,"(-0.62681000000, 35.36485000000)",-0.62681,35.36485,Bomet
2888,G6071137,EKENYORO TECH SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,211,9,23.444444444444443,NYAMIRA,NYAMIRA,BONYAMATUTA CHA,NYABISIMBA,WEST MUGIRANGO,NYANZA,"(-0.62645600000, 34.96429300000)",-0.626456,34.964293,Nyamira
2889,A4070315,GANGARA SEC. SCH.,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY AND BOARDING,133,12,11.083333333333334,MBEERE,SIAKAGO,MUMINJI,GANGARA,SIAKAGO,EASTERN,"(-0.62645300000, 37.71783600000)",-0.626453,37.717836,Embu
2890,A4070306,S.A ITIRA  SEC. SCH.,PUBLIC,LOCAL GOVERNMENT AUTHORITY,MIXED,DAY,65,10,6.5,MBEERE,SIAKAGO,MUMINJI,KARAMBARI,SIAKAGO,EASTERN,"(-0.62645100000, 37.79085000000)",-0.626451,37.79085,Embu
2891,F2030200,MIORO DAY SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,132,8,16.5,MURANGA,MATHIOYA,NJUMBI,GACHARAGENI,MATHIOYA,CENTRAL,"(-0.62606140000, 36.83638440000)",-0.6260614,36.8363844,Murang'a
2892,A4070147,NGENGE  SEC. SCH.,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,128,12,10.666666666666666,MBEERE,GACHOKA,MBETI SOUTH,GACHOKA,GACHOKA,EASTERN,"(-0.62591000000, 37.52514000000)",-0.62591,37.52514,Embu
2893,G6070521,NYAIKURO SDA SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,BOARDING,524,25,20.96,NYAMIRA,MANGA,CENTRAL KITUTU,NYAKONGO,KITUTU MASABA,NYANZA,"(-0.62476400000, 34.87955600000)",-0.624764,34.879556,Nyamira
2894,F2030211,KIRITI MIXED SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,BOARDING,257,14,18.357142857142858,MURANGA,MATHIOYA,NJUMBI,GACHARAGENI,MATHIOYA,CENTRAL,"(-0.62433440000, 36.87033970000)",-0.6243344,36.8703397,Murang'a
2895,H6030499,BOGITAA ELCK SEC,PUBLIC,RELIGIOUS ORGANISATION,MIXED,DAY,55,7,7.857142857142857,CENTRAL KISII,SUNEKA,RIANA,BOGITAA,BONCHARI,NYANZA,"(-0.62402700000, 34.66867400000)",-0.624027,34.668674,Kisii
2896,G6070556,MURAKO SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,139,12,11.583333333333334,NYAMIRA,MANGA,CENTRAL KITUTU,MORAKO,KITUTU MASABA,NYANZA,"(-0.62337500000, 34.84643800000)",-0.623375,34.846438,Nyamira
2897,M7180509,SASETA GIRLS SECONDARY,PUBLIC,RELIGIOUS ORGANIZATION,GIRLS ONLY,BOARDING,311,17,18.294117647058822,BURETI,KONOIN,MOGOGOSIEK,SASETA,KONOIN,RIFT VALLEY,"(-0.62322000000, 35.28003000000)",-0.62322,35.28003,Bomet
2898,H6030324,KIOGE GIRLS SEC,PUBLIC,RELIGIOUS ORGANISATION,GIRLS ONLY,BOARDING,288,20,14.4,CENTRAL KISII,MOSOCHO,NYAKOE,BONYAGATANYI,KITUTU CHACHE,NYANZA,"(-0.62315900000, 34.74719200000)",-0.623159,34.747192,Kisii
2899,E2040321,KENYA WHEAT LAND SEC,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY AND BOARDING,59,7,8.428571428571429,NYANDARUA,NORTH KINANGOP,ENGINEER,MURUNGARU,KINANGOP,CENTRAL,"(-0.62182140000, 36.49061280000)",-0.6218214,36.4906128,Nyandarua
2900,G6071123,NYAKEORE SEC SCH,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY,86,7,12.285714285714286,NYAMIRA,NYAMIRA,BONYAMATUTA CHA,KEBIRIGO,WEST MUGIRANGO,NYANZA,"(-0.62156600000, 34.95799500000)",-0.621566,34.957995,Nyamira
2901,M7180944,CHEBILAT SECONDARY,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY AND BOARDING,445,18,24.72222222222222,BURETI,SOTIK,CHEBILAT,CHEBILAT,SOTIK,RIFT VALLEY,"(-0.62146900000, 35.23173800000)",-0.621469,35.231738,Bomet
2902,G6070564,SENGERA MANGA SEC,PUBLIC,CENTRAL GOVERNMENT/DEB,MIXED,DAY AND BOARDING,220,13,16.923076923076923,NYAMIRA,MANGA,CENTRAL KITUTU,MWABOSIRE,KITUTU MASABA,NYANZA,"(-0.62099800000, 34.82695000000)",-0.620998,34.82695,Nyamira
2903,F2030372,MANANGA SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,360,16,22.5,MURANGA,MATHIOYA,KIRU,KORA,MATHIOYA,CENTRAL,"(-0.62041720000, 36.99664580000)",-0.6204172,36.9966458,Murang'a
2904,F2030468,GITHANGA MIXED SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,108,9,12.0,MURANGA,KIHARU,GATURI,GEITWA/MUGEKA,KIHARU,CENTRAL,"(-0.62041220000, 37.07593310000)",-0.6204122,37.0759331,Murang'a
2905,A2050153,NGAMWA SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,113,8,14.125,NYERI,MUKURWE-INI,RUTUNE,NGAMWA,MUKURWE-INI,CENTRAL,"(-0.61995200000, 37.12794200000)",-0.619952,37.127942,Nyeri
2908,B2020094,KANJINJI MIXED SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,122,8,15.25,KIRINYAGA,MWEA,MURINDUKO,RIAGICHERU,MWEA,CENTRAL,"(-0.61944400000, 37.41181100000)",-0.619444,37.411811,Kirinyaga
2909,F6020196,ST. TERRYCAM SEC SCH,PRIVATE,PRIVATE INDIVIDUAL/ORGANISATION,MIXED,DAY,139,11,12.636363636363637,HOMA BAY,RANGWE,EAST KAGAN,KAJULU,RANGWE,NYANZA,"(-0.61852900000, 34.61943300000)",-0.618529,34.619433,Homa Bay
2910,M7180220,KAPKATET SECONDARY SCHOOL,PUBLIC,LOCAL GOVERNMENT AUTHORITY,MIXED,DAY,149,11,13.545454545454545,BURETI,BURETI,KAPKATET,ITOIK,BURETI,RIFT VALLEY,"(-0.61828100000, 35.19851800000)",-0.618281,35.198518,Bomet
2911,F6020188,ASUMBI GIRLS HIGH SCH,PUBLIC,RELIGIOUS ORGANIZATION,GIRLS ONLY,DAY,794,35,22.685714285714287,HOMA BAY,RANGWE,EAST KAGAN,KAJULU,RANGWE,NYANZA,"(-0.61790600000, 34.61291800000)",-0.617906,34.612918,Homa Bay
2913,G6071091,ST.PETERS NYAMINCHA SEC,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,180,10,18.0,NYAMIRA,NYAMIRA,BONYAMATUTA CHA,SIAMANI,WEST MUGIRANGO,NYANZA,"(-0.61710700000, 34.94650200000)",-0.617107,34.946502,Nyamira
2914,M7180064,MOMBWO SECONDARY,PUBLIC,LOCAL GOVERNMENT AUTHORITY,MIXED,DAY,242,13,18.615384615384617,BURETI,BURETI,TECHOGET,KIPWASTUIYO,BURETI,RIFT VALLEY,"(-0.61709900000, 35.11797700000)",-0.617099,35.117977,Bomet
2915,F2030362,KIRIKU MIXED DAY SEC SCH,PUBLIC,RELIGIOUS ORGANIZATION,MIXED,DAY,60,3,20.0,MURANGA,MATHIOYA,KIRU,KAGUMOINI,MATHIOYA,CENTRAL,"(-0.61685530000, 36.96587470000)",-0.6168553,36.9658747,Murang'a
